country,year,immigration_rate
afghanistan,1962,-20000
afghanistan,1967,-20000
afghanistan,1972,-20000
afghanistan,1977,-1092462
afghanistan,1982,-3318301
afghanistan,1987,-1484185
afghanistan,1992,2327473
afghanistan,1997,-379474
afghanistan,2002,929118
afghanistan,2007,-777497
afghanistan,2012,448007
afghanistan,2017,-299999
angola,1962,-135000
angola,1967,-226155
angola,1972,-80955
angola,1977,11455
angola,1982,234148
angola,1987,-151982
angola,1992,142811
angola,1997,-126955
angola,2002,172594
angola,2007,85286
angola,2012,87322
angola,2017,0
albania,1962,-99
albania,1967,-99
albania,1972,-99
albania,1977,-99
albania,1982,-99
albania,1987,-99
albania,1992,-443212
albania,1997,-179606
albania,2002,-176774
albania,2007,-217358
albania,2012,-93425
albania,2017,-40000
united_arab_emirates,1962,37882
united_arab_emirates,1967,53823
united_arab_emirates,1972,265100
united_arab_emirates,1977,387833
united_arab_emirates,1982,184159
united_arab_emirates,1987,261351
united_arab_emirates,1992,368126
united_arab_emirates,1997,484452
united_arab_emirates,2002,1161000
united_arab_emirates,2007,3331000
united_arab_emirates,2012,480000
united_arab_emirates,2017,301000
argentina,1962,122001
argentina,1967,130001
argentina,1972,290000
argentina,1977,-230001
argentina,1982,139999
argentina,1987,160002
argentina,1992,29999
argentina,1997,-80000
argentina,2002,-90000
argentina,2007,-84998
argentina,2012,30000
argentina,2017,24002
armenia,1962,70335
armenia,1967,103399
armenia,1972,86404
armenia,1977,17214
armenia,1982,-51230
armenia,1987,-67528
armenia,1992,-496288
armenia,1997,-223873
armenia,2002,-160521
armenia,2007,-183361
armenia,2012,-30535
armenia,2017,-24989
antigua_and_barbuda,1962,-1703
antigua_and_barbuda,1967,-1625
antigua_and_barbuda,1972,-2874
antigua_and_barbuda,1977,-3492
antigua_and_barbuda,1982,-8840
antigua_and_barbuda,1987,-7629
antigua_and_barbuda,1992,2617
antigua_and_barbuda,1997,4421
antigua_and_barbuda,2002,-282
antigua_and_barbuda,2007,-92
antigua_and_barbuda,2012,-56
antigua_and_barbuda,2017,-56
australia,1962,382989
australia,1967,802781
australia,1972,264129
australia,1977,235744
australia,1982,456227
australia,1987,666233
australia,1992,351078
australia,1997,377552
australia,2002,575104
australia,2007,1122688
australia,2012,913107
australia,2017,849966
austria,1962,15996
austria,1967,50401
austria,1972,82001
austria,1977,5502
austria,1982,18002
austria,1987,110999
austria,1992,227841
austria,1997,65082
austria,2002,178117
austria,2007,153763
austria,2012,267172
austria,2017,99999
azerbaijan,1962,0
azerbaijan,1967,-40000
azerbaijan,1972,-50466
azerbaijan,1977,-50466
azerbaijan,1982,-101568
azerbaijan,1987,-161568
azerbaijan,1992,-115116
azerbaijan,1997,-111849
azerbaijan,2002,36524
azerbaijan,2007,53580
azerbaijan,2012,0
azerbaijan,2017,0
burundi,1962,-84989
burundi,1967,-57900
burundi,1972,-260594
burundi,1977,-150288
burundi,1982,-139147
burundi,1987,-150768
burundi,1992,-302498
burundi,1997,-445502
burundi,2002,50869
burundi,2007,102069
burundi,2012,-70000
burundi,2017,20000
belgium,1962,38304
belgium,1967,47288
belgium,1972,70980
belgium,1977,73523
belgium,1982,18478
belgium,1987,42556
belgium,1992,106947
belgium,1997,50870
belgium,2002,219560
belgium,2007,294270
belgium,2012,258672
belgium,2017,240000
benin,1962,-24295
benin,1967,-23742
benin,1972,-24845
benin,1977,-19393
benin,1982,-10848
benin,1987,-8723
benin,1992,68259
benin,1997,-2851
benin,2002,25005
benin,2007,-48776
benin,2012,-42268
benin,2017,-10000
burkina_faso,1962,-144723
burkina_faso,1967,-144723
burkina_faso,1972,-170263
burkina_faso,1977,-217400
burkina_faso,1982,-217400
burkina_faso,1987,-183699
burkina_faso,1992,-150001
burkina_faso,1997,-137499
burkina_faso,2002,-125000
burkina_faso,2007,-125000
burkina_faso,2012,-125000
burkina_faso,2017,-125000
bangladesh,1962,-142378
bangladesh,1967,-161822
bangladesh,1972,-2977854
bangladesh,1977,-1076732
bangladesh,1982,-787467
bangladesh,1987,-219363
bangladesh,1992,-798161
bangladesh,1997,-756121
bangladesh,2002,-1541457
bangladesh,2007,-3570954
bangladesh,2012,-2526483
bangladesh,2017,-2350001
bulgaria,1962,-1437
bulgaria,1967,-6423
bulgaria,1972,-43396
bulgaria,1977,-94868
bulgaria,1982,-22346
bulgaria,1987,-184143
bulgaria,1992,-356464
bulgaria,1997,-133824
bulgaria,2002,-85500
bulgaria,2007,-83742
bulgaria,2012,-24472
bulgaria,2017,-24001
bahrain,1962,-4195
bahrain,1967,-8033
bahrain,1972,19123
bahrain,1977,48962
bahrain,1982,3234
bahrain,1987,12899
bahrain,1992,5480
bahrain,1997,39180
bahrain,2002,155500
bahrain,2007,272000
bahrain,2012,42000
bahrain,2017,235000
"bahamas,_the",1962,14357
"bahamas,_the",1967,14080
"bahamas,_the",1972,887
"bahamas,_the",1977,2791
"bahamas,_the",1982,180
"bahamas,_the",1987,-1099
"bahamas,_the",1992,-395
"bahamas,_the",1997,-3097
"bahamas,_the",2002,15483
"bahamas,_the",2007,14363
"bahamas,_the",2012,9672
"bahamas,_the",2017,5000
bosnia_and_herzegovina,1962,-50002
bosnia_and_herzegovina,1967,-96958
bosnia_and_herzegovina,1972,-82247
bosnia_and_herzegovina,1977,-74132
bosnia_and_herzegovina,1982,-29999
bosnia_and_herzegovina,1987,-134587
bosnia_and_herzegovina,1992,-726484
bosnia_and_herzegovina,1997,-159283
bosnia_and_herzegovina,2002,-6000
bosnia_and_herzegovina,2007,-59246
bosnia_and_herzegovina,2012,-161371
bosnia_and_herzegovina,2017,-2506
belarus,1962,-125387
belarus,1967,65585
belarus,1972,37146
belarus,1977,38298
belarus,1982,47114
belarus,1987,-23021
belarus,1992,-63057
belarus,1997,56146
belarus,2002,-6382
belarus,2007,63933
belarus,2012,75799
belarus,2017,10000
belize,1962,-2418
belize,1967,-2957
belize,1972,-10665
belize,1977,-13542
belize,1982,-5332
belize,1987,-5404
belize,1992,-9011
belize,1997,11909
belize,2002,5797
belize,2007,8722
belize,2012,7594
belize,2017,6832
bolivia,1962,-34003
bolivia,1967,-37001
bolivia,1972,-42998
bolivia,1977,-60007
bolivia,1982,-87002
bolivia,1987,-106998
bolivia,1992,-90997
bolivia,1997,-83002
bolivia,2002,-89995
bolivia,2007,-84003
bolivia,2012,-61794
bolivia,2017,-50005
brazil,1962,0
brazil,1967,0
brazil,1972,0
brazil,1977,0
brazil,1982,0
brazil,1987,0
brazil,1992,0
brazil,1997,0
brazil,2002,0
brazil,2007,0
brazil,2012,15924
brazil,2017,30000
barbados,1962,-15903
barbados,1967,-11880
barbados,1972,-5433
barbados,1977,-3595
barbados,1982,-5589
barbados,1987,-4077
barbados,1992,-3263
barbados,1997,-1323
barbados,2002,-77
barbados,2007,2050
barbados,2012,2180
barbados,2017,2072
brunei_darussalam,1962,4889
brunei_darussalam,1967,9636
brunei_darussalam,1972,9768
brunei_darussalam,1977,7335
brunei_darussalam,1982,2933
brunei_darussalam,1987,2839
brunei_darussalam,1992,3868
brunei_darussalam,1997,3215
brunei_darussalam,2002,3347
brunei_darussalam,2007,-2089
brunei_darussalam,2012,2030
brunei_darussalam,2017,1760
bhutan,1962,5000
bhutan,1967,10000
bhutan,1972,9999
bhutan,1977,10004
bhutan,1982,797
bhutan,1987,1595
bhutan,1992,-85887
bhutan,1997,143
bhutan,2002,29002
bhutan,2007,16829
bhutan,2012,10000
bhutan,2017,0
botswana,1962,-15000
botswana,1967,-6020
botswana,1972,2326
botswana,1977,14845
botswana,1982,601
botswana,1987,5803
botswana,1992,17864
botswana,1997,24546
botswana,2002,21278
botswana,2007,18730
botswana,2012,15000
botswana,2017,15000
central_african_republic,1962,11930
central_african_republic,1967,13145
central_african_republic,1972,-20075
central_african_republic,1977,4000
central_african_republic,1982,40165
central_african_republic,1987,-45000
central_african_republic,1992,50000
central_african_republic,1997,25000
central_african_republic,2002,-24405
central_african_republic,2007,-125614
central_african_republic,2012,-396129
central_african_republic,2017,-150000
canada,1962,178066
canada,1967,608528
canada,1972,771526
canada,1977,438027
canada,1982,376129
canada,1987,875013
canada,1992,698764
canada,1997,761611
canada,2002,1026702
canada,2007,1229905
canada,2012,1145721
canada,2017,1100000
switzerland,1962,276181
switzerland,1967,92978
switzerland,1972,25185
switzerland,1977,-135365
switzerland,1982,81040
switzerland,1987,130857
switzerland,1992,247406
switzerland,1997,65218
switzerland,2002,186125
switzerland,2007,344872
switzerland,2012,397267
switzerland,2017,250000
chile,1962,-44994
chile,1967,-40584
chile,1972,-62525
chile,1977,-76611
chile,1982,-63513
chile,1987,-20953
chile,1992,13650
chile,1997,23454
chile,2002,37362
chile,2007,59383
chile,2012,80820
chile,2017,85285
china,1962,-1131180
china,1967,-160289
china,1972,-1081485
china,1977,-47190
china,1982,-200840
china,1987,-420046
china,1992,-764123
china,1997,-383389
china,2002,-2030083
china,2007,-2390895
china,2012,-1698448
china,2017,-1624595
cameroon,1962,0
cameroon,1967,-1000
cameroon,1972,-2500
cameroon,1977,0
cameroon,1982,-16500
cameroon,1987,-19500
cameroon,1992,-48000
cameroon,1997,-48000
cameroon,2002,-54000
cameroon,2007,-54000
cameroon,2012,-36000
cameroon,2017,-24000
"congo,_dem._rep.",1962,122650
"congo,_dem._rep.",1967,241910
"congo,_dem._rep.",1972,27450
"congo,_dem._rep.",1977,100685
"congo,_dem._rep.",1982,-446860
"congo,_dem._rep.",1987,74515
"congo,_dem._rep.",1992,1302404
"congo,_dem._rep.",1997,-1006384
